Label,Calligrapher Name,Total,Training set size,Testing set size,Validation set size
wxz,王羲之,6741,4045,1348,1348
yzq,颜真卿,6756,4054,1351,1351
lgq,柳公权,6763,4058,1353,1352
sgt,孙过庭,6251,3751,1250,1250
smh,沙孟海,1267,760,253,254
mf,米芾,6763,4058,1353,1352
htj,黄庭坚,6714,4028,1343,1343
oyx,欧阳询,3510,2106,702,702
zmf,赵孟頫,2012,1208,402,402
csl,褚遂良,1075,645,215,215
wzm,文征明,4526,2716,905,905
lqs,梁秋生,6757,4054,1351,1352
yyr,于右任,6763,4058,1353,1352
hy,弘一,3331,1999,666,666
bdsr,八大山人,1985,1191,397,397
fwq,范文强,6763,4058,1353,1352
gj,管峻,6763,4058,1353,1352
shz,宋徽宗,6763,4058,1353,1352
mzd,毛泽东,6763,4058,1353,1352
lx,鲁迅,6763,4058,1353,1352
total,,105029,63021,21007,21001
percentage,,,0.600034276247513,0.200011425415838,0.19995429833665